"FY"	"Category"	"Project"	"Purpose"	"Supply"	"Price"	"N"	"N_units"	"N_per_prep"	"Cost"	"Manuf"	"Cat"	"Name"	"Link"
26	"Consumables"	"Pygmy Loris Molecular Health"	"Library Prep"	"Taq Master Mix"	210	1.5	100	1	315	"NEB"	"M0533"	"LongAmp Hot Start Taq 2X Master Mix"	"https://www.neb.com/en-us/products/m0533-longamp-hot-start-taq-2x-master-mix"
26	"Consumables"	"Pygmy Loris Molecular Health"	"DNA Sequencing"	"Flow Cells"	800	1.5625	4	24	1250	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
26	"Consumables"	"Pygmy Loris Molecular Health"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.5	100	3	8.2	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Sample Collection"	"DNA Stabilizer"	255.6	0.235294117647059	85	1	60.14	"Zymo Research"	"R1100-250"	"DNA/RNA Shield"	"https://www.zymoresearch.com/collections/bulk-reagents/products/dna-rna-shield"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Sample Collection"	"Large Sample Collection Tubes"	132.3	0.04	500	1	5.29	"Globe Scientific"	"111580BRS"	"5mL Diamond Midicentrifuge Tubes"	"https://www.globescientific.com/5ml-diamondr-miditm-centrifuge-tubes-with-screw-cap.html?psku=111580S&cid=0"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"DNA Extraction"	"Fecal/Soil Kit"	264.9	0.4	50	1	105.96	"Zymo Research"	"D6010"	"Quick-DNA Fecal/Soil Microbe Miniprep"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-sshield"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"DNA Extraction"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"DNA Extraction"	"Purification Kit"	154.9	0.2	100	1	30.98	"Zymo Research"	"D4012"	"DNA Clean & Concentrator MagBead Kit"	"https://www.zymoresearch.com/collections/dcc-pcr-purification-kits/products/dna-clection/products/dna-rna-shield-lysis-and-collection-tubes"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Quality Control"	"Qubit Assay Kit"	142	0.2	100	1	28.4	"Invitrogen"	"Q33230"	"Qubit 1X dsDNA HS Assay Kit"	"https://www.thermofisher.com/order/catalog/product/Q33230"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Quality Control"	"Qubit Assay Tubes"	119	0.04	500	1	4.76	"Invitrogen"	"Q32856"	"500 μL thin-walled polypropylene tubes"	"https://www.thermofisher.com/order/catalog/product/Q32856"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Library Prep"	"Ligation Companion Module"	752	0.833333333333333	24	1	626.67	"NEB"	"E7672S"	"NEBNext® Companion Module v2"	"https://www.neb.com/en-us/products/e7672-nebnext-companion-module-oxford-nanopore-technologies-ligation-sequencing"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Library Prep"	"Ligation Sequencing Kit"	599	3.33333333333333	6	1	1996.67	"ONT"	"SQK-LSK114"	"Ligation Sequencing Kit"	"https://store.nanoporetech.com/us/ligation-sequencing-kit-v14.html"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Library Prep"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"Library Prep"	"PCR Tubes"	70.8	0.00694444444444444	960	3	0.49	"MTC-Bio"	"P3010-A"	"8-strip PCR Tubes with caps attached"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"DNA Sequencing"	"Flow Cells"	800	0.208333333333333	4	24	166.67	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
26	"Consumables"	"Pygmy Loris Taxonomy/Phylogenetics"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Bat EcoHealth"	"Sample Collection"	"DNA Stabilizer"	255.6	0.117647058823529	85	1	30.07	"Zymo Research"	"R1100-250"	"DNA/RNA Shield"	"https://www.zymoresearch.com/collections/bulk-reagents/products/dna-rna-shield"
26	"Consumables"	"Bat EcoHealth"	"Sample Collection"	"Small Sample Collection Tubes"	256	0.02	500	1	5.12	"Heathrow Scientific"	"HS23202A"	"2mL Sterile Cryogenic Vials"	"https://www.heathrowscientific.com/2-ml-cryogenic-vials-sterile/"
26	"Consumables"	"Bat EcoHealth"	"DNA Extraction"	"Fecal/Soil Kit"	264.9	0.4	50	1	105.96	"Zymo Research"	"D6010"	"Quick-DNA Fecal/Soil Microbe Miniprep"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-sshield"
26	"Consumables"	"Bat EcoHealth"	"DNA Extraction"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Bat EcoHealth"	"Quality Control"	"Qubit Assay Kit"	142	0.2	100	1	28.4	"Invitrogen"	"Q33230"	"Qubit 1X dsDNA HS Assay Kit"	"https://www.thermofisher.com/order/catalog/product/Q33230"
26	"Consumables"	"Bat EcoHealth"	"Quality Control"	"Qubit Assay Tubes"	119	0.04	500	1	4.76	"Invitrogen"	"Q32856"	"500 μL thin-walled polypropylene tubes"	"https://www.thermofisher.com/order/catalog/product/Q32856"
26	"Consumables"	"Bat EcoHealth"	"Library Prep"	"16S Barcoding Kit 24"	900	0.138888888888889	6	24	125	"ONT"	"SQK-16S114.24"	"16S Barcoding Kit 24"	"https://store.nanoporetech.com/us/16s-barcoding-kit-24-v14.html"
26	"Consumables"	"Bat EcoHealth"	"Library Prep"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Bat EcoHealth"	"Library Prep"	"PCR Tubes"	70.8	0.00694444444444444	960	3	0.49	"MTC-Bio"	"P3010-A"	"8-strip PCR Tubes with caps attached"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
26	"Consumables"	"Bat EcoHealth"	"Library Prep"	"Taq Master Mix"	210	0.2	100	1	42	"NEB"	"M0533"	"LongAmp Hot Start Taq 2X Master Mix"	"https://www.neb.com/en-us/products/m0533-longamp-hot-start-taq-2x-master-mix"
26	"Consumables"	"Bat EcoHealth"	"DNA Sequencing"	"Flow Cells"	800	0.208333333333333	4	24	166.67	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
26	"Consumables"	"Bat EcoHealth"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.0666666666666667	100	3	1.09	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"Sample Collection"	"Lysis Collection Tube"	265.2	0.2	50	1	53.04	"Zymo Research"	"R1103"	"DNA/RNA Shield Lysis Tubes (Microbe)"	"https://www.zymoresearch.com/collections/vector-and-environmental-collection/products/dna-rna-shield-lysis-and-collection-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"DNA Extraction"	"Fecal/Soil Kit"	264.9	0.2	50	1	52.98	"Zymo Research"	"D6010"	"Quick-DNA Fecal/Soil Microbe Miniprep"	"https://www.zymoresearch.com/collections/quick-dna-fecal-soil-microbe-kits/products/quick-dna-fecal-sshield"
26	"Consumables"	"eDNA Endangered Bats"	"DNA Extraction"	"Microfuge Tubes"	16.4	0.0333333333333333	100	3	0.55	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"DNA Extraction"	"Purification Kit"	154.9	0.1	100	1	15.49	"Zymo Research"	"D4012"	"DNA Clean & Concentrator MagBead Kit"	"https://www.zymoresearch.com/collections/dcc-pcr-purification-kits/products/dna-clection/products/dna-rna-shield-lysis-and-collection-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"Quality Control"	"Qubit Assay Kit"	142	0.1	100	1	14.2	"Invitrogen"	"Q33230"	"Qubit 1X dsDNA HS Assay Kit"	"https://www.thermofisher.com/order/catalog/product/Q33230"
26	"Consumables"	"eDNA Endangered Bats"	"Quality Control"	"Qubit Assay Tubes"	119	0.02	500	1	2.38	"Invitrogen"	"Q32856"	"500 μL thin-walled polypropylene tubes"	"https://www.thermofisher.com/order/catalog/product/Q32856"
26	"Consumables"	"eDNA Endangered Bats"	"Library Prep"	"Microfuge Tubes"	16.4	0.05	100	3	0.82	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"Library Prep"	"PCR Tubes"	70.8	0.00520833333333333	960	3	0.37	"MTC-Bio"	"P3010-A"	"8-strip PCR Tubes with caps attached"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
26	"Consumables"	"eDNA Endangered Bats"	"Library Prep"	"Rapid Barcoding Kit 24"	699	0.104166666666667	6	24	72.81	"ONT"	"SQK-RBK114.24"	"Rapid Barcoding Kit 24"	"https://store.nanoporetech.com/us/rapid-barcoding-sequencing-kit-24-v14.html"
26	"Consumables"	"eDNA Endangered Bats"	"DNA Sequencing"	"Flow Cells"	800	0.15625	4	24	125	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
26	"Consumables"	"eDNA Endangered Bats"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.05	100	3	0.82	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"Library Prep"	"Ligation Companion Module"	752	0.208333333333333	24	1	156.67	"NEB"	"E7672S"	"NEBNext® Companion Module v2"	"https://www.neb.com/en-us/products/e7672-nebnext-companion-module-oxford-nanopore-technologies-ligation-sequencing"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"Library Prep"	"Ligation Sequencing Kit"	599	0.833333333333333	6	1	499.17	"ONT"	"SQK-LSK114"	"Ligation Sequencing Kit"	"https://store.nanoporetech.com/us/ligation-sequencing-kit-v14.html"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"Library Prep"	"Microfuge Tubes"	16.4	0.0166666666666667	100	3	0.27	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"Library Prep"	"PCR Tubes"	70.8	0.00173611111111111	960	3	0.12	"MTC-Bio"	"P3010-A"	"8-strip PCR Tubes with caps attached"	"https://pipette.com/mtc-bio-p3010-a.html?Category_Code=pcr-tubes"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"DNA Sequencing"	"Flow Cells"	800	0.0520833333333333	4	24	41.67	"ONT"	"FLO-MIN114"	"MinION Flow Cells"	"https://store.nanoporetech.com/us/flow-cell-r10-4-1-2025.html"
26	"Consumables"	"Lithium Tolerant Microbial Communities"	"DNA Sequencing"	"Microfuge Tubes"	16.4	0.0166666666666667	100	3	0.27	"Zymo Research"	"C2001-100"	"1.5mL DNase-free Microfuge Tubes"	"https://www.zymoresearch.com/collections/tubes/products/dnase-rnase-free-tubes"
26	"Equipment"	"General"	"Quality Control"	"Digital Fluorometer"	3650	1	NA	NA	3650	"Promega"	"E6150"	"Quantus™ Fluorometer"	"https://www.fishersci.com/us/en/browse/90207111/fluorometers-and-fluorescence-polarization-systems"
26	"Equipment"	"General"	"Library Prep"	"Mini Microfuge"	1715.69	1	NA	NA	1715.69	"Benchmark Scientific"	"C1612"	"Gyro™ Microcentrifuge, fixed speed"	"https://www.benchmarkscientific.com/product/c1612/"
26	"Equipment"	"General"	"DNA Sequencing"	"Portable Sequencer"	2999	1	NA	NA	2999	"ONT"	"MIN-101D"	"MinION Mk1d Sequencer"	"https://store.nanoporetech.com/us/minion.html"
26	"Equipment"	"General"	"Portable Lab"	"Portable Power Station"	2199	1	NA	NA	2199	"EcoFlow"	NA	"Delta Pro Portable Power Station"	"https://us.ecoflow.com/products/delta-pro-portable-power-station"
26	"Personnel"	"General"	"General"	"Lab Technician"	15	800	NA	NA	12000	NA	NA	NA	NA
26	"Personnel"	"General"	"General"	"Work Study Undergrad"	4	300	NA	NA	1200	NA	NA	NA	NA
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Airport Transfer"	80	1	NA	NA	80	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Flight (OMA to LHR)"	900	1	NA	NA	900	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Lodging"	190	5	NA	NA	950	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Meals"	80	5	NA	NA	400	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Registration"	150	1	NA	NA	150	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Transportation"	20	5	NA	NA	100	NA	NA	NA	"https://biaza.org.uk/"
